First name,Last name,Position,State,Zip,DOB,Sex,MaritalDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction
Brown, Mia,Accountant I,MA,1450,11/24/87,F,Married,10/27/2008,,N/A - still employed,Active,Admin Offices,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,2.04,2
LaRotonda, William  ,Accountant I,MA,1460,04/26/84,M ,Divorced,6/1/2014,,N/A - still employed,Active,Admin Offices,Brandon R. LeBlanc,Website Banner Ads,Fully Meets,5.00,4
Steans, Tyrone  ,Accountant I,MA,2703,1/9/1986,M ,Single,9/29/2014,,N/A - still employed,Active,Admin Offices,Brandon R. LeBlanc,Internet Search,Fully Meets,3.90,5
Howard, Estelle,Administrative Assistant,MA,2170,09/16/85,F,Married,2/16/2015,04/15/15,,Terminated for Cause,Admin Offices,Brandon R. LeBlanc,Pay Per Click - Google,Fully Meets,3.24,3
Singh, Nan ,Administrative Assistant,MA,2330,05/19/88,F,Single,1/5/2015,,N/A - still employed,Active,Admin Offices,Brandon R. LeBlanc,Website Banner Ads,Fully Meets,5.00,3
Smith, Leigh Ann,Administrative Assistant,MA,1844,06/14/87,F,Married,9/26/2011,09/25/13,career change,Voluntarily Terminated,Admin Offices,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,3.80,4
Bunbury, Jessica,Area Sales Manager,VA,21851,1/6/1964,F,Married,8/15/2011,2/8/2014,Another position,Voluntarily Terminated,Sales,John Smith,Social Networks - Facebook Twitter etc,Fully Meets,3.14,5
Carter, Michelle ,Area Sales Manager,VT,5664,05/15/63,F,Single,8/18/2014,,N/A - still employed,Active,Sales,John Smith,Billboard,Fully Meets,5.00,5
Dietrich, Jenna  ,Area Sales Manager,WA,98052,05/14/87,F,Single,2/20/2012,,N/A - still employed,Active,Sales,John Smith,Website Banner Ads,PIP,2.30,1
Digitale, Alfred,Area Sales Manager,NH,3062,09/14/88,M ,Married,8/18/2014,,N/A - still employed,Active,Sales,John Smith,Pay Per Click - Google,Fully Meets,3.60,5
Friedman, Gerry,Area Sales Manager,NY,10171,02/24/69,M ,Single,7/3/2011,,N/A - still employed,Active,Sales,John Smith,Diversity Job Fair,Fully Meets,3.65,5
Gill, Whitney  ,Area Sales Manager,OH,43050,10/7/1971,F,Widowed,7/7/2014,5/9/2015,attendance,Terminated for Cause,Sales,John Smith,Monster.com,Fully Meets,3.97,4
Gonzales, Ricardo,Area Sales Manager,ID,83706,12/10/1954,M ,Married,12/5/2014,,N/A - still employed,Active,Sales,John Smith,Monster.com,Fully Meets,3.98,3
Guilianno, Mike,Area Sales Manager,TN,37129,9/2/1969,M ,Single,7/3/2011,10/31/14,relocation out of area,Voluntarily Terminated,Sales,John Smith,Newspager/Magazine,Fully Meets,4.50,5
Leruth, Giovanni,Area Sales Manager,UT,84111,12/27/88,M ,Separated,4/30/2012,,N/A - still employed,Active,Sales,John Smith,Website Banner Ads,Fully Meets,4.53,3
Mullaney, Howard,Area Sales Manager,AL,36006,2/11/1975,M ,Single,9/29/2014,,N/A - still employed,Active,Sales,John Smith,Internet Search,PIP,1.93,3
Ozark, Travis,Area Sales Manager,NC,27229,05/19/82,M ,Single,5/1/2015,,N/A - still employed,Active,Sales,John Smith,Website Banner Ads,Fully Meets,5.00,5
Strong, Caitrin,Area Sales Manager,MT,59102,12/5/1989,F,Married,9/27/2010,,N/A - still employed,Active,Sales,John Smith,Professional Society,Fully Meets,2.00,4
Valentin,Jackie,Area Sales Manager,AZ,85006,05/23/91,F,Married,5/7/2011,,N/A - still employed,Active,Sales,John Smith,Other,Fully Meets,2.81,3
Villanueva, Noah,Area Sales Manager,ME,4063,11/7/1989,M ,Single,5/3/2012,,N/A - still employed,Active,Sales,John Smith,Website Banner Ads,Fully Meets,1.77,4
Buck, Edward,Area Sales Manager,MA,2330,7/7/1975,M ,Married,9/29/2014,,N/A - still employed,Active,Sales,Lynn Daneault,Employee Referral,Fully Meets,3.31,5
Costa, Latia,Area Sales Manager,CA,90007,8/11/1988,F,Single,10/1/2011,,N/A - still employed,Active,Sales,Lynn Daneault,Other,Exceeds,4.77,5
