First name,Last name,Position,State,DOB,Sex,MaritalDesc,DateofHire,TermReason,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,Age
Brown, Mia,Accountant I,MA,11/24/1987,F,Married,10/27/2008,N/A - still employed,Active,Admin Offices,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,2.04,2,34
LaRotonda, William  ,Accountant I,MA,4/26/1984,M ,Divorced,6/1/2014,N/A - still employed,Active,Admin Offices,Brandon R. LeBlanc,Website Banner Ads,Fully Meets,5,4,37
Steans, Tyrone  ,Accountant I,MA,1/9/1986,M ,Single,9/29/2014,N/A - still employed,Active,Admin Offices,Brandon R. LeBlanc,Internet Search,Fully Meets,3.9,5,36
Singh, Nan ,Administrative Assistant,MA,5/19/1988,F,Single,1/5/2015,N/A - still employed,Active,Admin Offices,Brandon R. LeBlanc,Website Banner Ads,Fully Meets,5,3,33
Smith, Leigh Ann,Administrative Assistant,MA,6/14/1987,F,Married,9/26/2011,career change,Voluntarily Terminated,Admin Offices,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,3.8,4,34
Bunbury, Jessica,Area Sales Manager,VA,1/6/1964,F,Married,8/15/2011,Another position,Voluntarily Terminated,Sales,John Smith,Social Networks - Facebook Twitter etc,Fully Meets,3.14,5,58
Carter, Michelle ,Area Sales Manager,VT,5/15/1963,F,Single,8/18/2014,N/A - still employed,Active,Sales,John Smith,Billboard,Fully Meets,5,5,58
Dietrich, Jenna  ,Area Sales Manager,WA,5/14/1987,F,Single,2/20/2012,N/A - still employed,Active,Sales,John Smith,Website Banner Ads,PIP,2.3,1,34
Digitale, Alfred,Area Sales Manager,NH,9/14/1988,M ,Married,8/18/2014,N/A - still employed,Active,Sales,John Smith,Pay Per Click - Google,Fully Meets,3.6,5,33
Friedman, Gerry,Area Sales Manager,NY,2/24/1969,M ,Single,7/3/2011,N/A - still employed,Active,Sales,John Smith,Diversity Job Fair,Fully Meets,3.65,5,52
Gill, Whitney  ,Area Sales Manager,OH,10/7/1971,F,Widowed,7/7/2014,attendance,Terminated for Cause,Sales,John Smith,Monster.com,Fully Meets,3.97,4,50
Gonzales, Ricardo,Area Sales Manager,ID,12/10/1954,M ,Married,12/5/2014,N/A - still employed,Active,Sales,John Smith,Monster.com,Fully Meets,3.98,3,67
Guilianno, Mike,Area Sales Manager,TN,9/2/1969,M ,Single,7/3/2011,relocation out of area,Voluntarily Terminated,Sales,John Smith,Newspager/Magazine,Fully Meets,4.5,5,52
Leruth, Giovanni,Area Sales Manager,UT,12/27/1988,M ,Separated,4/30/2012,N/A - still employed,Active,Sales,John Smith,Website Banner Ads,Fully Meets,4.53,3,33
Mullaney, Howard,Area Sales Manager,AL,2/11/1975,M ,Single,9/29/2014,N/A - still employed,Active,Sales,John Smith,Internet Search,PIP,1.93,3,46
Ozark, Travis,Area Sales Manager,NC,5/19/1982,M ,Single,5/1/2015,N/A - still employed,Active,Sales,John Smith,Website Banner Ads,Fully Meets,5,5,39
Strong, Caitrin,Area Sales Manager,MT,12/5/1989,F,Married,9/27/2010,N/A - still employed,Active,Sales,John Smith,Professional Society,Fully Meets,2,4,32
Valentin,Jackie,Area Sales Manager,AZ,5/23/1991,F,Married,5/7/2011,N/A - still employed,Active,Sales,John Smith,Other,Fully Meets,2.81,3,30
Villanueva, Noah,Area Sales Manager,ME,11/7/1989,M ,Single,5/3/2012,N/A - still employed,Active,Sales,John Smith,Website Banner Ads,Fully Meets,1.77,4,32
Buck, Edward,Area Sales Manager,MA,7/7/1975,M ,Married,9/29/2014,N/A - still employed,Active,Sales,Lynn Daneault,Employee Referral,Fully Meets,3.31,5,46
Costa, Latia,Area Sales Manager,CA,8/11/1988,F,Single,10/1/2011,N/A - still employed,Active,Sales,Lynn Daneault,Other,Exceeds,4.77,5,33
Fraval, Maruk ,Area Sales Manager,CT,8/28/1963,M ,Single,6/9/2011,N/A - still employed,Active,Sales,Lynn Daneault,Monster.com,Fully Meets,1.64,3,58
Givens, Myriam,Area Sales Manager,IN,9/22/1989,F,Single,2/16/2015,N/A - still employed,Active,Sales,Lynn Daneault,Pay Per Click - Google,Fully Meets,1.72,5,32
Jeremy,Prater,Area Sales Manager,NV,9/5/1974,M ,Married,12/5/2014,N/A - still employed,Active,Sales,Lynn Daneault,Website Banner Ads,PIP,1.81,2,47
Khemmich, Bartholemew,Area Sales Manager,CO,11/27/1979,M ,Single,8/19/2013,N/A - still employed,Active,Sales,Lynn Daneault,Pay Per Click - Google,Fully Meets,2.19,5,42
